id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c,Salary_Gov_Allowances_all_types_2117__c,Dishonours_For_Last_30_Days_DP907__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_203__c
0062x000009TxnSAAS,Closed Lost,QuickCash,,,New Client-New Loan,2167744,14.52,17.8,89.74,180,275.7196,4,31-08-2021,0,4,27-08-2021,5,,4,27-08-2021,4,1949.22,0,2487.0899,1949,4,7,0,0,0,327.2917,649.74,965.37,1,4.36,10945,0,0,0,0,0,1,1,0,1,,1430,400,200,830,500,640,3113.8166,0,0,0
0062x000009TxkxAAC,Closed Lost,QuickCash,,,New Client-New Loan,2167724,0,33.71,73.29,0,0,3,03-08-2021,0,2,04-08-2021,3,18-08-2021,2,04-08-2021,0,1214.2768,0,1282.2134,1312,0,1,0,231.08,0,134.4,558.9,629.6,3,6.69,3891,0,0,0,0,72.12,1,3,0,1,,1343.33,400,400,543.33,500,640,6348.8766,6,0.0879,17
0062x000009Txk9AAC,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,2167717,7.13,94.38,95.36,188,188.5164,2,12-08-2021,0,4,25-08-2021,3,,4,25-08-2021,5,2638.5366,0,4148.2013,4338,7,15,0,0,0,0,1130.8014,620.3,0,0,4596,0,0,0,0,0,0,0,0,1,,0,2000,229,-2229,500,640,0,0,0,0
0062x000009TxolAAC,Closed Lost,QuickCash,,,New Client-New Loan,2167753,0,31.61,21.38,0,0,0,,0,4,27-08-2021,5,,4,27-08-2021,0,2003.8,0,2003.8,2004,0,1,0,61.78,0,160,667.9333,721,0,4.89,6339,0,0,0,0,19.53,1,0,0,1,,1560,400,350,810,500,640,7373.5666,0,0.2637,0
0062x000009TxnsAAC,Closed Lost,QuickCash,,,New Client-New Loan,2167761,3.82,25.49,80.25,0,83.88,4,24-08-2021,0,4,24-08-2021,2,,4,16-08-2021,0,1375.2,0,5364.2832,1569,0,0,0,13.19,0,0,476.5625,3300,20,0,6153,0,0,0,0,6.81,0,20,1,0,,1341.17,400,100,841.17,500,640,3656.09,1,0.9451,1
0062x000009TxvWAAS,Closed Lost,QuickCash,,,New Client-New Loan,2167781,0,97.52,70.92,0,0,0,,0,4,13-08-2021,5,,4,13-08-2021,0,1036.8933,0,1036.8933,1339,0,0,0,0,0,147.2,518.4466,310.4,0,20.77,1373,0,0,0,0,0,1,0,0,1,,2166.67,400,100,1666.67,500,640,4365.5833,0,0.011,0
0062x000009TxusAAC,Closed Lost,QuickCash,,,New Client-New Loan,2167777,6.17,47.66,77.81,88,143.3902,0,,0,4,24-08-2021,2,,4,24-08-2021,0,1426.9666,0,1426.9666,1530,0,4,0,0,0,292,611.5571,310.4,0,13.77,3210,0,0,0,0,0,1,0,0,1,,1432.17,400,240,792.17,500,640,2127.9533,0,0.6044,0
0062x000009TxTcAAK,Closed Lost,QuickCash,,,New Client-New Loan,2167635,0,0,26.03,0,0,1,17-08-2021,0,0,17-08-2021,2,24-08-2021,1,,0,0,0,10704.8538,0,0,0,0,0.59,0,0,2463.5833,3103.05,9,0,8928,0,0,0,0,0.71,0,9,0,0,,4333.33,400,400,3533.33,500,640,2211.3333,0,0.0879,0
0062x000009Txw5AAC,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,2167786,67,76.29,98.64,126,0,4,30-08-2021,1,0,30-08-2021,1,,4,,5,0,0,261.3333,1207,0,0,0,0,0,0,29.6842,30,19,0,1582,0,0,0,0,0,0,19,1,0,,1200,2000,240,-1040,500,640,5457.88,0,0,1
0062x000009TxwoAAC,Closed Lost,QuickCash,,,New Client-New Loan,2167797,8.88,55.95,82.22,0,0,4,29-08-2021,0,4,22-08-2021,7,,4,22-08-2021,0,766.0366,0,885.7031,766,0,0,0,7.83,0,0,287.2637,340.01,4,0,1369,1,3,0,0,4.38,0,4,0,1,,1280.5,400,50,830.5,500,640,1639.9966,2,0.1758,2
