id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c
0062x00000BIbteAAD,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3189436,56.64,7.78,37.87,2104,1219.9481,2,10/06/2022,0,1,10/06/2022,4,24/06/2022,2,14/06/2022,3,489.9582,0,5957.5828,451,4,0,0,0,0,769.8037,2148.7866,1747.55,4,72.53,5791,1,4,0,0,0,0,4,0,0,,3900,599,720,2581,2500,3151.06
0062x00000C6XRoAAN,Closed Won-Funded,MoneySpot,,2348.04,Existing Client-Granted Loan Before,3647573,32.06,0,68.33,1162,1487.6566,2,31/08/2022,0,0,31/08/2022,3,14/09/2022,2,,0,0,0,4133.7649,0,6,32,0,0,0,1005.2491,1902.665,1902.66,6,17.65,5697,0,0,0,0,0,0,0,0,0,,4550,400,300,3850,2500,3151.07
0062x00000C6XRoAAN,Closed Won-Funded,MoneySpot,,2366.22,Existing Client-Granted Loan Before,3647573,32.06,0,68.33,1162,1487.6566,2,31/08/2022,0,0,31/08/2022,3,14/09/2022,2,,0,0,0,4133.7649,0,6,32,0,0,0,1005.2491,1902.665,1902.66,6,17.65,5697,0,0,0,0,0,0,0,0,0,,4550,400,300,3850,2500,3151.07
0062x00000ENiMoAAL,Closed Won-Funded,QuickCash,,1518.52,Existing Client-Granted Loan Before,6198199,48.71,0,85.93,1839,2166.2698,2,01/08/2023,0,0,01/08/2023,2,15/08/2023,2,,0,0,0,8762.8898,0,0,30,0,1.06,0,0,3271.7916,2540.4,6,9.06,10971,0,0,0,0,0.68,0,6,0,0,0,5373.33,899,1800,2674.33,2500,3151.07
0062x00000EDE25AAH,Closed Won-Funded,MoneySpot,,1725.54,Existing Client-Granted Loan Before,5929760,94.97,0,49.01,177,2510.9033,4,11/07/2023,0,0,11/07/2023,2,,4,,0,0,0,12896.6786,0,0,33,0,0,0,0,605.2,7,20,0,19504,0,0,0,0,0,0,20,1,0,0,5477.87,899,900,3678.87,2500,3151.12
0062x00000CjFfYAAV,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,4093950,101.46,0,67.83,620,5152.2334,2,10/11/2022,0,0,10/11/2022,4,24/11/2022,2,,0,0,0,7383.5697,0,0,179,0,0,0,320,3398.465,2801.97,6,0,11509,1,6,0,0,0,0,6,0,0,,7352.48,1499,1800,4053.48,2500,3151.13
0062x00000CjFfYAAV,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,4093950,101.46,0,67.83,620,5152.2334,2,10/11/2022,0,0,10/11/2022,4,24/11/2022,2,,0,0,0,7383.5697,0,0,179,0,0,0,320,3398.465,2801.97,6,0,11509,1,6,0,0,0,0,6,0,0,,7352.48,1499,1800,4053.48,2500,3151.13
0062x00000E5QAmAAN,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,5652850,34.18,0.1,34.9,1373,3402.8601,2,07/06/2023,0,0,07/06/2023,3,21/06/2023,2,,0,0,0,10182.1738,13,0,36,0,27.59,0,763.8064,4686.59,3811.07,6,11.03,12620,1,13,0,0,22.26,0,6,0,0,0,6933.33,899,900,5134.33,2500,3151.14
0062x00000E5QAmAAN,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,5652850,34.18,0.1,34.9,1373,3402.8601,2,07/06/2023,0,0,07/06/2023,3,21/06/2023,2,,0,0,0,10182.1738,13,0,36,0,27.59,0,763.8064,4686.59,3811.07,6,11.03,12620,1,13,0,0,22.26,0,6,0,0,0,6933.33,899,900,5134.33,2500,3151.14
0062x00000DZEl8AAH,Loan Paid,MoneySpot,,-0.06,Existing Client-Granted Loan Before,5081866,129.02,0,62.65,1475,10059.6175,4,14/04/2023,0,0,14/04/2023,5,,4,,5,0,3,15037.8959,0,1,44,0,0.19,0,0,6984.165,9357.33,4,0,28378,1,13,76,1,0.06,0,1,0,0,0,5200,400,200,4600,2500,3151.19
0062x00000DZEl8AAH,Loan Paid,MoneySpot,,-0.06,Existing Client-Granted Loan Before,5081866,129.02,0,62.65,1475,10059.6175,4,14/04/2023,0,0,14/04/2023,5,,4,,5,0,3,15037.8959,0,1,44,0,0.19,0,0,6984.165,9357.33,4,0,28378,1,13,76,1,0.06,0,1,0,0,0,5200,400,200,4600,2500,3151.19
0062x00000B2SwqAAF,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3030424,43.87,1.1,56.72,1314,837.8599,4,18/05/2022,4,0,18/05/2022,3,,4,,8,0,0,22946.1698,333,20,33,0,63.61,0,1412.542,4563.75,5600,1,3.63,30133,0,0,0,0,25.69,0,0,1,0,,4600,400,100,4100,2500,3151.66
0062x00000B2SwqAAF,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3030424,43.87,1.1,56.72,1314,837.8599,4,18/05/2022,4,0,18/05/2022,3,,4,,8,0,0,22946.1698,333,20,33,0,63.61,0,1412.542,4563.75,5600,1,3.63,30133,0,0,0,0,25.69,0,0,1,0,,4600,400,100,4100,2500,3151.66
0062x00000DGtudAAD,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,4748607,21.13,0,41.71,718,719.5822,4,23/02/2023,0,0,23/02/2023,4,,4,,0,0,0,3395.9,0,0,13,0,35.72,0,719.5845,1018.77,1130.68,10,12.18,5910,0,0,0,0,20.52,0,10,0,0,,3928.93,899,1000,2029.93,2500,3152.19
0062x00000DGtudAAD,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,4748607,21.13,0,41.71,718,719.5822,4,23/02/2023,0,0,23/02/2023,4,,4,,0,0,0,3395.9,0,0,13,0,35.72,0,719.5845,1018.77,1130.68,10,12.18,5910,0,0,0,0,20.52,0,10,0,0,,3928.93,899,1000,2029.93,2500,3152.19
0062x00000DsSH6AAN,Payment Plan,MoneySpot,,649.04,Existing Client-Granted Loan Before,5243091,32.19,26.4,98.33,994,2561.5534,1,10/05/2023,1,2,10/05/2023,3,17/05/2023,1,01/05/2023,3,816.3225,0,5392.1552,789,3,26,0,0,0,1483.8792,911.8057,901.5,1,49.66,2988,1,7,0,0,0,0,1,0,0,0,3480.38,1499,200,1781.38,2500,3152.28
0062x00000DFG90AAH,Loan Paid,QuickCash,,0,Existing Client-Granted Loan Before,4657442,44.13,0,41.55,838,586.8774,4,10/02/2023,0,0,10/02/2023,5,,4,,0,0,2,1898.5,0,0,13,0,274.95,0,0,335.0294,837,17,0,9779,0,0,72,1,53.38,0,17,1,0,,1847.51,400,800,647.51,2500,3152.5
0062x00000DFG90AAH,Loan Paid,QuickCash,,0,Existing Client-Granted Loan Before,4657442,44.13,0,41.55,838,586.8774,4,10/02/2023,0,0,10/02/2023,5,,4,,0,0,2,1898.5,0,0,13,0,274.95,0,0,335.0294,837,17,0,9779,0,0,72,1,53.38,0,17,1,0,,1847.51,400,800,647.51,2500,3152.5
0062x00000DUpVRAA1,Loan Paid,Financier-2,,0,Existing Client-Granted Loan Before,5391732,183.66,0,16.99,995,0,3,12/05/2023,2,0,12/05/2023,5,,3,,5,0,1,5550.5,0,0,9,0,10,0,0,5550.5,5550.5,3,0,11410,0,0,198,1,4.86,0,3,0,0,0,6985,599,1000,5386,2500,3153.6
0062x00000DUpVRAA1,Loan Paid,Financier-2,,0,Existing Client-Granted Loan Before,5391732,183.66,0,16.99,995,0,3,12/05/2023,2,0,12/05/2023,5,,3,,5,0,1,5550.5,0,0,9,0,10,0,0,5550.5,5550.5,3,0,11410,0,0,198,1,4.86,0,3,0,0,0,6985,599,1000,5386,2500,3153.6
0062x000006DTQyAAO,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1182873,53.82,0,68.93,880,1034.5699,2,30/09/2020,0,0,30/09/2020,3,14/10/2020,2,,0,0,0,4585.1928,0,0,5,0,0,0,128,1884.6757,1789.57,7,3.53,7033,0,0,0,0,0,0,7,0,0,,2200,599,610,991,2500,3153.95
0062x000006DTQyAAO,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,1182873,53.82,0,68.93,880,1034.5699,2,30/09/2020,0,0,30/09/2020,3,14/10/2020,2,,0,0,0,4585.1928,0,0,5,0,0,0,128,1884.6757,1789.57,7,3.53,7033,0,0,0,0,0,0,7,0,0,,2200,599,610,991,2500,3153.95
0062x00000E3YzMAAV,Loan Paid,Financier-2,,0,Existing Client-Granted Loan Before,5497182,0,0,48.47,4818,20725.5982,0,,0,0,,0,,0,,0,0,2,3250,0,0,2,0,0,0,1029.225,0,0,0,6.1,30839,0,0,28,1,2.18,0,0,0,0,0,3900,899,1863,1138,2500,3154.35
0062x00000E3YzMAAV,Loan Paid,Financier-2,,0,Existing Client-Granted Loan Before,5497182,0,0,48.47,4818,20725.5982,0,,0,0,,0,,0,,0,0,2,3250,0,0,2,0,0,0,1029.225,0,0,0,6.1,30839,0,0,28,1,2.18,0,0,0,0,0,3900,899,1863,1138,2500,3154.35
0062x00000BC733AAD,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3421179,88.76,0.2,87.52,2093,2587.1529,2,21/07/2022,0,2,21/07/2022,4,04/08/2022,2,14/07/2022,2,13.9034,0,7502.3961,15,2,65,0,0.07,0,1143.342,3196.77,3246.31,6,49.55,7457,2,14,0,0,0.07,0,2,0,0,,2400,899,780,721,2500,3154.61
